"Date","SP500","NASDAQ","DowJones","FTSE100","DAX","CAC40","Nikkei225","HangSeng","SSEComposite","KOSPI","Sensex"
2000-01-31,1394.4599609375,3940.35009765625,10940.5302734375,6268.5,6835.60009765625,5659.81005859375,19539.69921875,15532.33984375,NA,943.880004882812,5205.2900390625
2000-02-29,1366.42004394531,4696.68994140625,10128.3095703125,6232.60009765625,7644.5498046875,6190.9599609375,19959.51953125,17169.439453125,1714.57800292969,828.380004882812,5447.47021484375
2000-03-31,1498.57995605469,4572.830078125,10921.919921875,6540.2001953125,7599.39013671875,6286.0498046875,20337.3203125,17406.5390625,1800.22497558594,860.940002441406,5001.27978515625
2000-04-30,1452.43005371094,3860.65991210938,10733.91015625,6327.39990234375,7414.68017578125,6419.72021484375,17973.69921875,15519.2998046875,1836.32104492188,725.390014648438,4657.5498046875
2000-05-31,1420.59997558594,3400.90991210938,10522.330078125,6359.39990234375,7109.669921875,6426.259765625,16332.4501953125,14713.8603515625,1894.55395507812,731.880004882812,4433.60986328125
2000-06-30,1454.59997558594,3966.11010742188,10447.8896484375,6312.7001953125,6898.2099609375,6446.5400390625,17411.05078125,16155.7802734375,1928.10595703125,821.219970703125,4748.77001953125
2000-07-31,1430.82995605469,3766.98999023438,10521.98046875,6365.2998046875,7190.3701171875,6542.490234375,15727.490234375,16840.98046875,2023.53894042969,705.969970703125,4279.85986328125
2000-08-31,1517.68005371094,4206.35009765625,11215.099609375,6672.7001953125,7216.4501953125,6625.419921875,16861.259765625,17097.509765625,2021.19897460938,688.619995117188,4477.31005859375
2000-09-30,1436.51000976562,3672.82006835938,10650.919921875,6294.2001953125,6798.1201171875,6266.6298828125,15747.259765625,15648.98046875,1910.16101074219,613.219970703125,4090.3798828125
2000-10-31,1429.40002441406,3369.6298828125,10971.1396484375,6438.39990234375,7077.43994140625,6397.66015625,14539.599609375,14895.33984375,1961.28698730469,514.47998046875,3711.02001953125
2000-11-30,1314.94995117188,2597.92993164062,10414.490234375,6142.2001953125,6372.330078125,5928.080078125,14648.509765625,13984.3896484375,2070.61303710938,509.230010986328,3997.98999023438
2000-12-31,1320.28002929688,2470.52001953125,10787.990234375,6222.5,6433.60986328125,5926.419921875,13785.6904296875,15095.5302734375,2073.47705078125,NA,3972.1201171875
2001-01-31,1366.01000976562,2772.72998046875,10887.3603515625,6297.5,6795.14013671875,5998.490234375,13843.5498046875,16102.349609375,NA,617.909973144531,4326.72021484375
2001-02-28,1239.93994140625,2151.830078125,10495.2802734375,5917.89990234375,6208.240234375,5367.47998046875,12883.5400390625,14787.8701171875,1959.18005371094,578.099975585938,4247.0400390625
2001-03-31,1160.32995605469,1840.26000976562,9878.7802734375,5633.7001953125,5829.9501953125,5180.4501953125,12999.7001953125,12760.6396484375,2112.77490234375,523.219970703125,3604.3798828125
2001-04-30,1249.4599609375,2116.23999023438,10734.9697265625,5967,6264.509765625,5640.02978515625,NA,NA,2119.18408203125,577.359985351562,3519.15991210938
2001-05-31,1255.81994628906,2110.48999023438,10911.9404296875,5796.2001953125,6123.259765625,5454.18994140625,13262.1396484375,13174.41015625,2214.25708007812,612.159973144531,3631.90991210938
2001-06-30,1224.38000488281,2160.5400390625,10502.400390625,5642.5,6058.3798828125,5225.330078125,12969.0498046875,13042.5302734375,2218.02905273438,595.130004882812,3456.78002929688
2001-07-31,1211.22998046875,2027.13000488281,10522.8095703125,5529.10009765625,5861.18994140625,5085.509765625,11860.76953125,12316.6904296875,1920.31799316406,541.549987792969,3329.28002929688
2001-08-31,1133.57995605469,1805.43005371094,9949.75,5345,5188.169921875,4689.33984375,10713.509765625,11090.48046875,1834.13793945312,545.109985351562,3244.94995117188
2001-09-30,1040.93994140625,1498.80004882812,8847.5595703125,4903.39990234375,4308.14990234375,4079.02001953125,9774.6796875,9950.7001953125,1764.86694335938,479.679992675781,2811.60009765625
