"Date","Open","High","Low","Close","Volume","Adjusted"
2000-01-04,1368.69299316406,1407.51794433594,1361.21398925781,1406.37097167969,0,1406.37097167969
2000-01-05,1407.82897949219,1433.78002929688,1398.32299804688,1409.68200683594,0,1409.68200683594
2000-01-06,1406.03601074219,1463.95495605469,1400.25305175781,1463.94201660156,0,1463.94201660156
2000-01-07,1477.15405273438,1522.82495117188,1477.15405273438,1516.60400390625,0,1516.60400390625
2000-01-10,1531.71203613281,1546.72302246094,1506.40405273438,1545.11206054688,0,1545.11206054688
2000-01-11,1547.67797851562,1547.7080078125,1468.75695800781,1479.78100585938,0,1479.78100585938
2000-01-12,1473.76098632812,1489.28002929688,1434.99597167969,1438.02001953125,0,1438.02001953125
2000-01-13,1437.45300292969,1444.06604003906,1418.81396484375,1424.44201660156,0,1424.44201660156
2000-01-14,1426.22399902344,1433.47399902344,1401.7060546875,1408.84802246094,0,1408.84802246094
2000-01-17,1408.98803710938,1433.38305664062,1402.66296386719,1433.32995605469,0,1433.32995605469
2000-01-18,1436.88793945312,1443.59204101562,1421.64196777344,1426.623046875,0,1426.623046875
2000-01-19,1425.8740234375,1443.67199707031,1425.14294433594,1440.72399902344,0,1440.72399902344
2000-01-20,1443.09399414062,1466.90100097656,1443.09399414062,1466.86303710938,0,1466.86303710938
2000-01-21,1471.90502929688,1476.4560546875,1458.92504882812,1465.0849609375,0,1465.0849609375
2000-01-24,1465.85803222656,1477.41198730469,1449.47204589844,1477.34399414062,0,1477.34399414062
2000-01-25,1483.03295898438,1490.46398925781,1467.43798828125,1476.50598144531,0,1476.50598144531
2000-01-26,1477.29504394531,1482.46398925781,1469.97998046875,1481.11694335938,0,1481.11694335938
2000-01-27,1490.44702148438,1506.92199707031,1485.23400878906,1506.76696777344,0,1506.76696777344
2000-01-28,1514.55798339844,1536.34594726562,1510.74499511719,1534.99694824219,0,1534.99694824219
2000-01-31,NA,NA,NA,NA,NA,NA
2000-02-01,NA,NA,NA,NA,NA,NA
2000-02-02,NA,NA,NA,NA,NA,NA
2000-02-03,NA,NA,NA,NA,NA,NA
2000-02-04,NA,NA,NA,NA,NA,NA
2000-02-07,NA,NA,NA,NA,NA,NA
2000-02-08,NA,NA,NA,NA,NA,NA
2000-02-09,NA,NA,NA,NA,NA,NA
2000-02-10,NA,NA,NA,NA,NA,NA
2000-02-11,NA,NA,NA,NA,NA,NA
2000-02-14,1591.44494628906,1674.13195800781,1587.81799316406,1673.94299316406,0,1673.94299316406
2000-02-15,1709.22399902344,1746.44299316406,1663.00500488281,1670.67004394531,0,1670.67004394531
2000-02-16,1674.93603515625,1695.88098144531,1649.69897460938,1693.10900878906,0,1693.10900878906
2000-02-17,1734.26794433594,1770.88000488281,1615.62902832031,1640.64904785156,0,1640.64904785156
2000-02-18,1623.96105957031,1668.16394042969,1583.58203125,1668.09094238281,0,1668.09094238281
2000-02-21,1681.36096191406,1697.01000976562,1652.47595214844,1677.13598632812,0,1677.13598632812
2000-02-22,1681.29895019531,1687.51098632812,1627.46704101562,1632.2939453125,0,1632.2939453125
2000-02-23,1618.00805664062,1630.54602050781,1586.63403320312,1594.93005371094,0,1594.93005371094
2000-02-24,1593.94799804688,1634.32299804688,1593.92895507812,1634.30895996094,0,1634.30895996094
2000-02-25,1639.9189453125,1650.36499023438,1618.17700195312,1631.57604980469,0,1631.57604980469
2000-02-28,1639.79895019531,1704.88403320312,1639.69604492188,1704.85498046875,0,1704.85498046875
2000-02-29,1728.13598632812,1733.14099121094,1678.34997558594,1714.57800292969,0,1714.57800292969
2000-03-01,1720.59704589844,1721.14001464844,1692.50903320312,1704.85498046875,0,1704.85498046875
2000-03-02,1697.56201171875,1721.59802246094,1682.53503417969,1713.01403808594,0,1713.01403808594
2000-03-03,1728.35498046875,1750.64501953125,1721.70495605469,1738.02099609375,0,1738.02099609375
2000-03-06,1756.31298828125,1762.82897949219,1678.74401855469,1681.0849609375,0,1681.0849609375
2000-03-07,1661.94799804688,1694.88696289062,1654.44396972656,1694.79797363281,0,1694.79797363281
2000-03-08,1699.46203613281,1726.04296875,1690.11694335938,1726.03295898438,0,1726.03295898438
2000-03-09,1734.76696777344,1741.22399902344,1714.92102050781,1732.34594726562,0,1732.34594726562
2000-03-10,1731.93994140625,1743.13903808594,1701.79296875,1705.04895019531,0,1705.04895019531
2000-03-13,1706.76904296875,1729.00695800781,1706.34899902344,1728.88696289062,0,1728.88696289062
2000-03-14,1690.65295410156,1700.373046875,1636.89294433594,1685.34704589844,0,1685.34704589844
2000-03-15,1680.29602050781,1695.16198730469,1676.5439453125,1681.47094726562,0,1681.47094726562
2000-03-16,1671.09704589844,1671.17797851562,1596.07202148438,1607.52697753906,0,1607.52697753906
2000-03-17,1602.36303710938,1661.97595214844,1602.3349609375,1658.60095214844,0,1658.60095214844
2000-03-20,1646.31005859375,1699.28100585938,1641.76501464844,1699.248046875,0,1699.248046875
2000-03-21,1704.0849609375,1713.20495605469,1692.68395996094,1710.32397460938,0,1710.32397460938
2000-03-22,1713.24096679688,1726.58996582031,1711.15795898438,1720.44604492188,0,1720.44604492188
2000-03-23,1724.18798828125,1747.28295898438,1711.40502929688,1747.24096679688,0,1747.24096679688
2000-03-24,1761.44396972656,1770.26293945312,1729.48303222656,1730.4990234375,0,1730.4990234375
2000-03-27,1736.69604492188,1776.02099609375,1736.69604492188,1775.91394042969,0,1775.91394042969
2000-03-28,1788.82702636719,1799.95202636719,1774.48205566406,1791.44104003906,0,1791.44104003906
2000-03-29,1797.88098144531,1803.82702636719,1763.61999511719,1788.80700683594,0,1788.80700683594
2000-03-30,1793.67602539062,1811.06298828125,1790.84899902344,1810.98400878906,0,1810.98400878906
2000-03-31,1810.55297851562,1810.89697265625,1780.41101074219,1800.22497558594,0,1800.22497558594
2000-04-03,1799.57495117188,1816.85998535156,1798.25402832031,1801.00305175781,0,1801.00305175781
2000-04-04,1795.16101074219,1795.16101074219,1755.97998046875,1760.69201660156,0,1760.69201660156
2000-04-05,1756.30004882812,1776.71496582031,1746.30200195312,1771.19897460938,0,1771.19897460938
2000-04-06,1775.78405761719,1809.1689453125,1775.67602539062,1809.14099121094,0,1809.14099121094
2000-04-07,1816.78601074219,1822.61499023438,1807.54296875,1819.89599609375,0,1819.89599609375
2000-04-10,1826.61096191406,1831.85302734375,1815.99096679688,1826.06103515625,0,1826.06103515625
2000-04-11,1826.40295410156,1828.05700683594,1812.00805664062,1821.17395019531,0,1821.17395019531
2000-04-12,1822.39794921875,1823.83203125,1785.32702636719,1807.32800292969,0,1807.32800292969
2000-04-13,1807.83703613281,1832.0830078125,1807.71203613281,1831.54797363281,0,1831.54797363281
2000-04-14,1835.86096191406,1840.18896484375,1820.67199707031,1833.6650390625,0,1833.6650390625
2000-04-17,1829.61499023438,1829.92895507812,1778.87805175781,1795.05798339844,0,1795.05798339844
2000-04-18,1794.33898925781,1813.57104492188,1779.2939453125,1813.49499511719,0,1813.49499511719
