"symbol","name","region","asset_class","rows","start","end"
"^GSPC","SP500","United States","Equity index",6641,"2000-01-03","2026-05-29"
"^IXIC","NASDAQ","United States","Equity index",6641,"2000-01-03","2026-05-29"
"^DJI","DowJones","United States","Equity index",6641,"2000-01-03","2026-05-29"
"^FTSE","FTSE100","United Kingdom","Equity index",6719,"2000-01-04","2026-05-29"
"^GDAXI","DAX","Germany","Equity index",6747,"2000-01-03","2026-05-29"
"^FCHI","CAC40","France","Equity index",6784,"2000-01-03","2026-05-29"
"^N225","Nikkei225","Japan","Equity index",6589,"2000-01-04","2026-06-01"
"^HSI","HangSeng","Hong Kong","Equity index",6583,"2000-01-03","2026-05-29"
"000001.SS","SSEComposite","China","Equity index",6519,"2000-01-04","2026-05-29"
"^KS11","KOSPI","South Korea","Equity index",6603,"2000-01-04","2026-06-01"
"^BSESN","Sensex","India","Equity index",6596,"2000-01-03","2026-05-29"
"AAPL","AAPL","United States","Stock",6641,"2000-01-03","2026-05-29"
"MSFT","MSFT","United States","Stock",6641,"2000-01-03","2026-05-29"
"AXP","AXP","United States","Stock",6641,"2000-01-03","2026-05-29"
"CAT","CAT","United States","Stock",6641,"2000-01-03","2026-05-29"
"SBUX","SBUX","United States","Stock",6641,"2000-01-03","2026-05-29"
