"Date","Open","High","Low","Close","Volume","Adjusted"
2000-01-03,23.84375,24.5,23.84375,24.3125,5055000,12.5208606719971
2000-01-04,24.3125,24.875,24,24,6181400,12.3599214553833
2000-01-05,24,25.09375,24,24.5625,6398600,12.6496067047119
2000-01-06,25.28125,26.125,25.28125,25.8125,5140600,13.2933549880981
2000-01-07,26.375,27.5625,26.375,26.65625,6360200,13.7278709411621
2000-01-10,26.65625,27.28125,25.75,25.78125,3682200,13.2772579193115
2000-01-11,25.78125,26.59375,25.375,25.375,3945600,13.0680408477783
2000-01-12,25.5625,26.15625,25.5625,25.8125,3401000,13.2933549880981
2000-01-13,26.03125,26.6875,26.03125,26.09375,3129400,13.4381980895996
2000-01-14,26.09375,26.4375,25.9375,25.96875,3044400,13.3738222122192
2000-01-18,25.875,25.875,24.9375,24.96875,4054200,12.9397974014282
2000-01-19,24.96875,25.34375,24.65625,24.65625,3424600,12.7778482437134
2000-01-20,24.65625,24.96875,23.53125,23.5625,4279200,12.2110233306885
2000-01-21,23.5625,23.96875,22.8125,23.6875,5e+06,12.2758007049561
2000-01-24,23.625,23.625,22.53125,22.65625,5385600,11.7413663864136
2000-01-25,22.5,22.5,21.28125,21.8125,6084200,11.304102897644
2000-01-26,21.8125,22.84375,21.6875,22.46875,4188200,11.6442003250122
2000-01-27,22.46875,22.78125,22,22.28125,3340800,11.5470285415649
2000-01-28,22.28125,22.59375,21.75,21.75,4851600,11.2717113494873
2000-01-31,21.75,21.96875,21.21875,21.21875,3677000,10.9963941574097
2000-02-01,21.375,22.03125,21.375,21.59375,2930200,11.1907424926758
2000-02-02,21.59375,22.375,21.4375,21.71875,2933600,11.2555179595947
2000-02-03,21.625,21.625,21.0625,21.15625,4343400,10.9640064239502
2000-02-04,21.15625,21.40625,20.625,21.15625,4122000,10.9640064239502
2000-02-07,20.90625,20.90625,20.375,20.625,4089800,10.6886949539185
2000-02-08,20.625,20.75,20,20.5,5848400,10.6239128112793
2000-02-09,20.5,20.59375,19.5625,19.5625,5934800,10.1380624771118
2000-02-10,19.5625,19.78125,18.8125,19.03125,5807400,9.86274528503418
2000-02-11,18.9375,18.9375,17.4375,18,11944800,9.3283109664917
2000-02-14,18.125,19.46875,18.125,19.3125,6787800,10.0085077285767
2000-02-15,19.3125,20.375,19.3125,20,6048200,10.3647871017456
2000-02-16,20,20.3125,19.40625,19.59375,3881400,10.1542587280273
2000-02-17,19.5625,19.5625,18.84375,19.34375,3824200,10.0246982574463
2000-02-18,19.1875,19.1875,18.6875,18.84375,3017800,9.76558017730713
2000-02-22,18.84375,19.4375,18.75,19.15625,4028800,9.92752456665039
2000-02-23,19.15625,19.34375,18.59375,18.90625,4894400,9.79796600341797
2000-02-24,18.90625,18.9375,18.125,18.125,4488200,9.39309024810791
2000-02-25,18.125,18.75,17.9375,18,4139800,9.3283109664917
2000-02-28,18,18.3125,17.6875,17.78125,3319200,9.21495151519775
2000-02-29,17.78125,18.21875,17.5,17.53125,4805800,9.08539009094238
2000-03-01,17.53125,17.90625,17.4375,17.4375,4841600,9.03680324554443
2000-03-02,17.4375,17.5,17.09375,17.21875,3956000,8.92343807220459
2000-03-03,17.25,18.65625,17.25,18.1875,4805800,9.42548561096191
2000-03-06,18.21875,19,18.21875,18.34375,5260400,9.5064582824707
2000-03-07,18.25,18.25,16.75,16.90625,8780800,8.76148796081543
2000-03-08,17.3125,18.21875,17.3125,17.46875,5772000,9.05299854278564
2000-03-09,17.46875,17.6875,17.125,17.625,4904400,9.1339693069458
2000-03-10,17.625,18.375,17.40625,17.84375,5335400,9.24733734130859
2000-03-13,17.84375,18.0625,17.5,17.8125,3304800,9.2311429977417
2000-03-14,17.875,18.59375,17.875,17.90625,6545400,9.2797327041626
2000-03-15,17.90625,19.53125,17.8125,19.125,6827400,9.91133213043213
2000-03-16,19.46875,20.8125,19.46875,20.34375,7723400,10.5429334640503
2000-03-17,20.15625,20.15625,19.53125,19.8125,4798800,10.2676248550415
